#{"t_start": 1718715479.3150194, "env_id": "CartPoleAggregated-v1"}
r,l,t
13.0,13,0.702923
19.0,19,0.747465
42.0,42,4.419266
25.0,25,5.958421
23.0,23,6.009772
18.0,18,7.779881
29.0,29,9.473729
37.0,37,11.482186
67.0,67,14.951777
22.0,22,16.82136
28.0,28,18.693696
22.0,22,18.745394
82.0,82,24.333815
47.0,47,26.255156
174.0,174,37.371455
124.0,124,44.911969
281.0,281,54.068546
181.0,181,60.744189
230.0,230,71.286932
273.0,273,83.806252
500.0,500,101.594977
500.0,500,124.752409
500.0,500,142.881718
500.0,500,158.507062
500.0,500,177.306786
500.0,500,192.919733
500.0,500,209.174545
500.0,500,225.175281
500.0,500,239.802759
500.0,500,258.300167
500.0,500,275.178649
500.0,500,292.768111
500.0,500,308.535944
500.0,500,325.039059
500.0,500,340.942568
500.0,500,357.05203
500.0,500,374.616365
500.0,500,390.557618
500.0,500,406.753832
500.0,500,423.774419
500.0,500,439.794429
