#{"t_start": 1718712210.4691157, "env_id": "CartPoleNoVel-v1"}
r,l,t
22.0,22,0.721945
20.0,20,2.130817
16.0,16,2.165752
9.0,9,4.006084
22.0,22,4.057921
16.0,16,6.181245
14.0,14,6.216469
105.0,105,11.807971
20.0,20,13.627325
23.0,23,15.498704
10.0,10,15.520999
13.0,13,17.092275
19.0,19,17.136078
25.0,25,18.923072
18.0,18,18.964646
83.0,83,24.546687
69.0,69,28.105536
176.0,176,37.728492
150.0,150,43.56885
169.0,169,53.30096
144.0,144,60.937158
141.0,141,70.949137
467.0,467,83.921824
390.0,390,101.123695
203.0,203,112.671552
319.0,319,126.98939
228.0,228,135.909132
317.0,317,146.715697
379.0,379,162.859123
205.0,205,173.402138
205.0,205,181.870171
224.0,224,192.19674
228.0,228,203.735944
500.0,500,219.911177
428.0,428,236.166853
309.0,309,248.571423
500.0,500,265.618935
500.0,500,285.42304
500.0,500,303.331833
500.0,500,322.771729
500.0,500,340.442444
500.0,500,357.083056
500.0,500,376.171143
500.0,500,392.524224
500.0,500,411.882658
500.0,500,428.034529
500.0,500,445.866523
500.0,500,464.765493
500.0,500,481.010422
