#{"t_start": 1709892379.9117396, "env_id": "CartPole-v1"}
r,l,t
25.0,25,1.516121
28.0,28,1.666944
15.0,15,1.759006
25.0,25,1.780253
47.0,47,1.958527
43.0,43,2.073291
24.0,24,2.180516
226.0,226,2.882668
245.0,245,3.682709
99.0,99,3.966911
136.0,136,4.334245
137.0,137,4.724311
135.0,135,5.174571
295.0,295,6.030485
277.0,277,6.810581
35.0,35,6.901146
170.0,170,7.435733
199.0,199,7.987108
423.0,423,9.169192
424.0,424,10.440089
500.0,500,12.825255
500.0,500,14.401353
500.0,500,15.733045
500.0,500,17.229465
500.0,500,18.701226
500.0,500,20.069137
500.0,500,23.109797
500.0,500,24.552258
500.0,500,25.806078
500.0,500,27.226843
500.0,500,28.877261
500.0,500,30.827762
500.0,500,33.268926
500.0,500,34.727155
500.0,500,36.296796
500.0,500,37.761159
500.0,500,39.305278
500.0,500,40.826814
500.0,500,43.168685
